icao,lat,lon,alt,country,name,location
SDLJ,-6.04357,-50.58056,2257,BR,Igarape Bahia,Sao Felix do Xingu
SDLK,-14.47931,-42.26995,2064,BR,Cacule,Cacule
SDLL,-22.22907,-47.38662,2021,BR,Leme,Leme
SDLM,3.85497,-59.93,125,GY,Guariba,Lethem
SDLN,-22.60138,-42.03149,26,BR,Fazenda Tosana,Rio das Ostras
SDLO,-13.56358,-38.94486,12,BR,Fazenda Pontal,Taperoa
SDLP,-22.58232,-48.77906,2039,BR,Lencois Paulista,Lencois Paulista
SDLQ,-21.50034,-50.77984,1339,BR,Fazenda Perobal,Guararapes
SDLR,-20.46382,-50.14616,1722,BR,Fazenda Sonho Dourado,Votuporanga
SDLU,-22.48227,-48.53129,1782,BR,Fazenda Santa Luiza,Barra Bonita
SDLV,-22.91803,-51.35413,1581,BR,Fazenda Sao Francisco,Florestopolis
SDLW,-13.44276,-57.78536,1804,BR,Fazenda Campo Real,Arenapolis
SDLX,-11.441,-52.21069,1417,BR,Fazenda Jacareuna,Sao Miguel do Araguaia
SDLY,-21.62034,-48.35477,2083,BR,Matao,Matao
SDMA,-22.95657,-45.6036,1804,BR,Fazenda Maristela,Tremembe
SDMC,-22.92185,-42.8361,13,BR,Marica,Marica
SDMD,-17.9965,-54.69689,1033,BR,Fazenda Santa Izabel,Coxim
SDME,-21.62884,-48.39828,1942,BR,Marchesan S A,Matao
SDMG,2.67809,-63.74747,394,VE,Haxiu,La Esmeralda
SDMH,-20.81029,-49.48905,1913,BR,Mirassol Apt,Sao Jose do Rio Preto
SDMJ,-22.4088,-46.91247,2274,BR,Mogi-Mirim,Mogi Mirim
SDMK,-21.55103,-53.55967,1192,BR,Leticia,Bataipora
SDMM,4.55547,-60.78632,1083,VE,Lago Verde,Santa Elena de Uairen
SDMO,-21.25795,-48.5317,2461,BR,Monte Alto,Monte Alto
SDMQ,-21.84947,-57.89888,299,BR,Fazenda Quebracho Brasil,Porto Murtinho
SDMR,-23.06916,-43.88121,16,BR,Marambaia,Mangaratiba
SDMV,-22.28401,-48.60423,1736,BR,Fazenda Morro Vermelho,Jau
SDMW,-14.112,-50.68357,833,BR,Fazenda Karaja,Mozarlandia
SDMX,-15.5037,-55.38264,2267,BR,Fazenda Fontana,Chapada dos Guimaraes
SDMY,-21.63504,-48.48599,2008,BR,Fazenda Do Cambuhy,Matao
SDNA,-19.67405,-49.00054,2336,BR,Fazenda Vale Verde,Frutal
