ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
1178,0.06762756254760843,0.07151227918152281,74.463942882382,73.74070198114106,82.19036088278563,82.06839985076448,-0.28236976036658656,-0.24367908243032593,8965.75,134.0,252.21484375,-2.25,21.835375000000003,220.671875,0.39310156250000006,8747.0,51.81077912449837,5.4254470858722925,286.75,90.98492431640625,90.59326171875,34.0,-90.703125,5808.177817685708,170.7691423142922
1179,0.07332186030467194,0.0762524378712062,76.53081232910468,75.24916542699091,83.35909839631489,82.98891193218891,-0.2632493239182692,-0.17673352062518782,8969.6875,217.0,251.78515625,-2.25,21.832374999999995,220.3203125,0.3924765625,8751.0,51.81076445616782,5.427583968266845,286.25,91.1337890625,90.615234375,34.0,-90.703125,5808.028243387532,170.91871661246807
1180,0.07863403497650528,0.08178373418131718,79.52178687339678,77.98469542471324,84.43945811598562,84.1206933032592,-0.19648625300480768,-0.08560400275464326,8973.1875,215.0,252.125,-2.25,21.829125,220.6484375,0.39309374999999996,8755.0,51.81074978783727,5.429718252271414,286.125,91.5150146484375,90.615234375,34.0,-91.0546875,5807.867825618374,171.0791343816259
1181,0.07958151462020503,0.08250767884555008,80.60159175543447,79.11477961434606,84.75905298420483,84.36956667992834,-0.44304480919471156,-0.01977518486609825,8978.75,306.0,251.94140625,-2.25,21.824750000000005,220.4375,0.392765625,8759.0,51.810734532773495,5.431850692257285,286.0,91.21563720703125,90.615234375,34.0,-91.40625,5807.7057364249085,171.24122357509165
1182,0.07939465798063185,0.08257646586866736,80.84082400658805,79.45904585179109,84.84572777733803,84.45733151347765,-0.3538865309495192,-0.007182604980468748,8982.625,248.0,251.78125,-2.25,21.821375,220.3046875,0.39256250000000004,8763.0,51.81071927770972,5.433982126414776,285.875,91.2557373046875,90.615234375,34.0,-91.40625,5807.5437653010595,171.40319469894095
1183,0.07916553232877425,0.08239668950824001,80.89345382282009,79.54251963686453,84.88831983006921,84.50709737791713,-0.22574791541466346,-0.003361090792142428,8987.0,230.0,251.5,-2.375,21.818375000000003,220.0625,0.39215625,8765.0,51.81070410646498,5.436113895848393,285.875,91.3963623046875,90.615234375,34.0,-91.7578125,5807.382203079223,171.56475692077797
1184,0.0789039780847505,0.08224695676129444,80.9095178260925,79.58985898839856,84.91455072342198,84.54591397131044,-0.13764601487379807,0.01372061720628005,8987.9375,90.0,250.984375,-2.25,21.817499999999995,219.578125,0.39132031250000004,8765.0,51.81068893522024,5.438245162367821,285.875,91.2469482421875,90.615234375,34.0,-92.109375,5807.221052144376,171.725907855624
1185,0.07875496234819311,0.08218329936998076,80.91658487537866,79.59481533703627,84.93518512366161,84.5640037259545,-0.5718172513521634,0.03142389678955078,8987.8125,-33.0,250.9609375,-2.5,21.817750000000007,219.578125,0.39132031250000004,8764.0,51.81067368015647,5.440376428887248,285.875,91.10247802734375,90.63720703125,34.0,-92.109375,5807.060113882658,171.88684611734217
1186,0.0786982864425331,0.08201771371087298,80.93326890531978,79.58829016195854,84.95616163896375,84.57774856037713,-0.22965651292067307,0.021455730262169476,8983.8125,-216.0,250.4453125,-2.5,21.821625,219.1875,0.39053906250000003,8762.0,51.8106581736356,5.442508952692151,285.875,91.42767333984375,90.63720703125,34.0,-92.109375,5806.899397882505,172.04756211749557
1187,0.08066606250987667,0.08424256319064638,81.49068708374445,80.1655616676579,85.30563030993197,84.93344617311003,-0.10215172400841346,0.0932127165574294,8982.875,-105.0,250.55859375,-2.5,21.82225,219.2578125,0.390703125,8761.0,51.810642248019576,5.4446410574018955,285.875,90.95526123046875,90.63720703125,34.0,-92.109375,5806.734489256804,172.2124707431961
1188,0.08277058045719463,0.0860896889492686,82.39923452805218,81.07479836575307,85.68470408225222,85.30337438159881,0.0014789287860576923,0.08743440293532151,8982.25,-19.0,250.02734375,-2.5,21.823,218.8046875,0.38988281250000006,8760.0,51.81062623858452,5.446774000301957,286.125,91.20904541015625,90.6591796875,34.0,-92.109375,5806.565628987398,172.38133101260254
1189,0.08274165731910707,0.08620979607278502,82.60181440871148,81.30263385841941,85.74628939871448,85.37156737645962,-0.04500169020432692,0.08154098346416769,8981.5625,-59.0,250.703125,-2.5,21.823000000000004,219.4609375,0.3910546875,8759.0,51.810609390959144,5.448907781392336,286.25,91.3623046875,90.68115234375,34.0,-92.109375,5806.396677534006,172.55028246599443
